food,ore,wood,poop,run_id
20,326,116,260,4
30,336,122,267,4
42,344,116,275,4
58,368,140,272,4
48,376,134,279,4
84,384,120,286,4
28,368,46,330,4
84,368,36,335,4
112,396,76,326,4
112,428,116,312,4
94,436,124,310,4
112,468,164,296,4
112,476,156,294,4
112,484,148,292,4
56,376,140,323,4
112,408,186,303,4
28,386,76,358,4
128,422,134,344,4
112,432,146,349,4
140,472,206,333,4
66,308,194,386,4
28,78,150,463,4
140,150,212,453,4
38,126,74,534,4
130,204,141,548,4
132,252,173,567,4
142,331,272,572,4
142,410,371,580,4
29,374,189,682,4
136,418,210,724,4
140,472,258,750,4
68,262,248,833,4
144,353,366,849,4
16,305,138,973,4
39,29,98,1079,4
146,136,219,1106,4
145,213,260,1139,4
147,320,381,1158,4
142,392,421,1192,4
191,499,542,1212,4
188,555,550,1249,4
185,603,542,1286,4
185,642,518,1323,4
38,303,454,1445,4
194,421,548,1489,4
25,366,280,1635,4
194,484,389,1685,4
38,79,308,1833,4
195,209,417,1888,4
196,339,526,1933,4
190,410,518,1990,4
10,338,210,2156,4
190,401,203,2227,4
200,534,332,2283,4
194,619,378,2360,4
38,156,286,2530,4
200,293,415,2592,4
10,207,68,2778,4
202,344,212,2847,4
203,484,357,2920,4
203,624,502,2998,4
203,764,647,3076,4
203,904,792,3154,4
196,927,769,3247,4
203,1067,914,3325,4
196,1104,875,3424,4
38,581,772,3616,4
0,483,374,3817,4
194,588,497,3910,4
182,655,536,4012,4
220,757,654,4072,4
220,881,772,4134,4
220,1005,890,4196,4
220,1129,1008,4258,4
171,1145,944,4365,4
190,1247,1062,4418,4
188,1320,1122,4494,4
220,1432,1240,4542,4
182,1446,1195,4636,4
231,1496,1222,4744,4
246,1589,1330,4834,4
248,1682,1453,4930,4
248,1775,1576,5014,4
340,48,96,20,5
360,48,96,40,5
376,45,90,60,5
380,37,74,80,5
333,21,42,110,5
318,21,42,140,5
303,20,39,170,5
228,20,39,155,5
153,20,39,140,5
74,16,31,128,5
28,12,15,113,5
32,12,43,98,5
32,6,63,88,5
56,6,91,81,5
70,6,131,71,5
94,6,183,59,5
164,6,275,83,5
252,6,429,125,5
259,6,561,178,5
281,6,722,244,5
304,6,883,310,5
319,6,1067,379,5
360,6,1283,450,5
376,6,1499,515,5
416,6,1739,600,5
467,2,2006,683,5
385,2,2231,668,5
385,2,2456,653,5
385,2,2681,638,5
385,2,2906,623,5
385,2,3131,608,5
385,2,3356,593,5
385,2,3581,578,5
385,2,3806,563,5
385,2,4031,548,5
385,2,4256,533,5
385,2,4481,518,5
385,2,4706,503,5
385,2,4931,488,5
385,2,5156,473,5
385,2,5381,458,5
385,2,5606,443,5
385,2,5831,428,5
385,2,6056,413,5
385,2,6281,398,5
385,2,6506,383,5
385,2,6731,368,5
385,2,6956,353,5
385,2,7181,338,5
385,2,7406,323,5
385,2,7631,308,5
385,2,7856,293,5
385,2,8081,278,5
385,2,8306,263,5
385,2,8531,248,5
385,2,8756,233,5
385,2,8981,218,5
385,2,9206,203,5
385,2,9431,188,5
385,2,9656,173,5
385,2,9881,158,5
385,2,10106,143,5
385,2,10331,128,5
385,2,10556,113,5
385,2,10781,98,5
385,2,11006,83,5
385,2,11231,68,5
385,2,11456,53,5
385,2,11681,38,5
385,2,11906,23,5
385,2,12131,8,5
385,2,12356,0,5
385,2,12581,0,5
