food,ore,wood,poop,run_id
416,23,168,304,6
379,12,144,310,6
372,18,152,303,6
365,24,160,296,6
346,21,152,295,6
303,10,124,297,6
296,16,132,290,6
289,22,140,283,6
282,28,148,276,6
287,33,152,269,6
244,12,108,278,6
226,18,116,269,6
208,24,124,260,6
141,8,88,275,6
148,13,96,269,6
128,19,104,261,6
108,25,112,253,6
26,17,72,269,6
73,23,86,264,6
49,8,53,268,6
74,14,67,260,6
86,22,81,246,6
110,30,99,233,6
98,38,117,219,6
49,20,83,220,6
74,29,104,206,6
99,40,132,186,6
50,16,82,189,6
75,27,107,168,6
87,14,84,158,6
137,31,123,118,6
150,51,165,69,6
175,73,217,8,6
171,95,269,0,6
150,73,231,0,6
171,95,283,0,6
231,117,335,0,6
171,91,291,0,6
175,56,228,0,6
250,63,244,0,6
258,93,320,0,6
262,123,396,0,6
262,121,408,0,6
247,126,385,0,6
181,114,348,0,6
266,134,456,0,6
178,112,364,5,6
278,114,416,0,6
140,82,282,83,6
278,46,298,97,6
312,66,450,73,6
305,54,536,86,6
282,38,614,84,6
288,58,766,19,6
361,54,835,0,6
368,34,873,0,6
368,24,931,0,6
592,46,1089,0,6
592,68,1247,0,6
519,40,1270,0,6
448,24,1316,0,6
640,46,1455,0,6
571,22,1486,0,6
647,44,1625,0,6
502,22,1639,0,6
684,44,1778,0,6
721,66,1917,0,6
684,28,2042,0,6
688,78,2181,0,6
541,65,2186,0,6
558,44,2176,21,6
691,80,2317,0,6
658,60,2328,0,6
687,48,2355,0,6
763,98,2497,0,6
801,148,2643,0,6
340,50,100,20,7
280,46,84,40,7
220,22,115,60,7
160,28,139,80,7
100,38,169,100,7
40,48,199,120,7
0,58,229,140,7
0,65,253,155,7
0,61,249,167,7
0,64,261,176,7
0,61,256,178,7
13,59,252,179,7
24,60,252,177,7
45,61,252,174,7
56,62,252,172,7
59,55,236,174,7
60,51,220,183,7
58,35,188,190,7
69,37,192,185,7
83,39,200,180,7
73,42,212,171,7
50,38,208,171,7
52,41,216,168,7
34,19,176,178,7
17,10,136,197,7
51,13,152,195,7
72,17,173,193,7
102,22,199,191,7
102,15,201,201,7
144,8,203,211,7
151,14,234,201,7
151,20,264,190,7
131,9,258,191,7
144,14,284,171,7
168,21,319,145,7
168,10,318,137,7
248,18,354,114,7
308,26,404,99,7
300,14,392,107,7
308,22,421,79,7
308,22,471,38,7
308,22,521,0,7
308,22,571,0,7
308,22,621,0,7
308,22,671,0,7
308,22,721,0,7
308,22,771,0,7
308,22,821,0,7
308,22,871,0,7
308,22,921,0,7
193,2,871,5,7
308,2,936,0,7
310,2,1024,0,7
316,2,1112,0,7
352,2,1200,0,7
356,2,1290,0,7
356,2,1384,0,7
356,2,1478,0,7
356,2,1572,0,7
356,2,1666,0,7
356,2,1760,0,7
356,2,1854,0,7
356,2,1948,0,7
356,2,2042,0,7
356,2,2136,0,7
356,2,2230,0,7
356,2,2324,0,7
356,2,2418,0,7
356,2,2512,0,7
356,2,2606,0,7
356,2,2700,0,7
356,2,2794,0,7
356,2,2888,0,7
356,2,2982,0,7
356,2,3076,0,7
356,2,3170,0,7
356,2,3264,0,7
356,2,3358,0,7
356,2,3452,0,7
356,2,3546,0,7
356,2,3640,0,7
356,2,3734,0,7
356,2,3828,0,7
356,2,3922,0,7
356,2,4016,0,7
356,2,4110,0,7
356,2,4204,0,7
356,2,4298,0,7
356,2,4392,0,7
356,2,4486,0,7
356,2,4580,0,7
356,2,4674,0,7
356,2,4768,0,7
356,2,4862,0,7
356,2,4956,0,7
356,2,5050,0,7
356,2,5144,0,7
356,2,5238,0,7
356,2,5332,0,7
356,2,5426,0,7
340,48,96,20,8
520,48,96,40,8
688,45,90,60,8
772,41,74,80,8
798,33,91,105,8
790,27,121,138,8
698,17,96,171,8
642,1,91,204,8
622,1,126,237,8
602,1,161,270,8
582,1,196,303,8
610,1,219,326,8
609,1,250,355,8
608,1,281,384,8
607,1,312,413,8
606,1,343,442,8
605,1,374,471,8
604,1,405,500,8
603,1,436,529,8
602,1,467,558,8
630,1,490,581,8
