houses,farms,mines,lumber mills,latrines,run_id
4,7,2,4,8,10
5,7,2,4,7,10
5,7,2,4,7,10
5,7,2,4,7,10
5,7,2,4,7,10
5,7,2,4,7,10
5,8,2,4,7,10
5,8,2,4,7,10
5,8,2,4,7,10
5,8,2,4,7,10
5,8,2,4,7,10
5,8,2,4,7,10
5,7,2,4,7,10
5,7,2,4,7,10
5,7,2,5,7,10
5,7,2,5,7,10
5,7,2,5,7,10
5,7,2,6,7,10
5,7,2,6,7,10
5,7,2,6,7,10
5,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
6,7,2,6,7,10
7,7,2,6,7,10
7,7,2,6,8,10
7,7,2,6,8,10
7,7,2,6,8,10
7,7,2,6,8,10
6,7,2,6,8,10
7,7,2,6,8,10
7,7,2,6,8,10
0,0,0,0,0,11
1,0,0,0,0,11
1,0,0,1,0,11
1,0,0,1,0,11
2,0,0,1,0,11
2,0,0,1,0,11
2,0,0,1,0,11
2,0,0,1,0,11
2,0,0,1,0,11
2,1,0,1,0,11
2,1,0,1,0,11
3,1,0,1,0,11
3,1,0,1,0,11
3,2,0,1,0,11
3,2,0,1,0,11
3,2,0,1,1,11
3,2,0,1,1,11
3,2,0,1,1,11
3,2,0,1,1,11
3,2,0,1,1,11
3,2,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,1,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,2,11
3,1,0,1,1,11
3,1,0,1,1,11
2,1,0,1,1,11
2,1,0,1,1,11
2,1,0,1,1,11
2,1,0,1,1,11
2,1,0,1,1,11
2,1,0,1,1,11
0,0,0,0,0,12
0,0,1,0,0,12
1,0,1,0,0,12
1,0,1,1,0,12
1,0,1,1,0,12
1,0,1,1,0,12
2,0,1,1,0,12
2,0,1,1,0,12
2,1,1,1,0,12
2,2,1,1,0,12
3,2,1,1,0,12
3,2,1,1,0,12
3,2,1,1,0,12
3,2,1,2,0,12
3,2,1,2,0,12
3,3,1,2,0,12
3,3,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
3,4,1,2,0,12
